id,name,logo,nationnal,country.id,country.name,country.code,country.flag
519,Alba Berlin,https://media.api-sports.io/basketball/teams/519.png,False,17.0,Germany,DE,https://media.api-sports.io/flags/de.svg
1263,Anadolu Efes,https://media.api-sports.io/basketball/teams/1263.png,False,48.0,Turkey,TR,https://media.api-sports.io/flags/tr.svg
1576,Avellino,https://media.api-sports.io/basketball/teams/1576.png,False,23.0,Italy,IT,https://media.api-sports.io/flags/it.svg
2329,Barcelona,https://media.api-sports.io/basketball/teams/2329.png,False,45.0,Spain,ES,https://media.api-sports.io/flags/es.svg
2331,Baskonia,https://media.api-sports.io/basketball/teams/2331.png,False,45.0,Spain,ES,https://media.api-sports.io/flags/es.svg
410,Cibona,https://media.api-sports.io/basketball/teams/410.png,False,10.0,Croatia,HR,https://media.api-sports.io/flags/hr.svg
1022,CSKA Moscow,https://media.api-sports.io/basketball/teams/1022.png,False,39.0,Russia,RU,https://media.api-sports.io/flags/ru.svg
1270,Fenerbahce,https://media.api-sports.io/basketball/teams/1270.png,False,48.0,Turkey,TR,https://media.api-sports.io/flags/tr.svg
908,Gdynia,https://media.api-sports.io/basketball/teams/908.png,False,34.0,Poland,PL,https://media.api-sports.io/flags/pl.svg
2334,Joventut Badalona,https://media.api-sports.io/basketball/teams/2334.png,False,45.0,Spain,ES,https://media.api-sports.io/flags/es.svg
23,Le Mans,https://media.api-sports.io/basketball/teams/23.png,False,4.0,France,FR,https://media.api-sports.io/flags/fr.svg
687,Maccabi Tel Aviv,https://media.api-sports.io/basketball/teams/687.png,False,22.0,Israel,IL,https://media.api-sports.io/flags/il.svg
100,Nancy,https://media.api-sports.io/basketball/teams/100.png,False,4.0,France,FR,https://media.api-sports.io/flags/fr.svg
722,Olimpia Milano,https://media.api-sports.io/basketball/teams/722.png,False,23.0,Italy,IT,https://media.api-sports.io/flags/it.svg
1542,Olympiakos,https://media.api-sports.io/basketball/teams/1542.png,False,18.0,Greece,GR,https://media.api-sports.io/flags/gr.svg
614,Panathinaikos,https://media.api-sports.io/basketball/teams/614.png,False,18.0,Greece,GR,https://media.api-sports.io/flags/gr.svg
615,Panionios,https://media.api-sports.io/basketball/teams/615.png,False,18.0,Greece,GR,https://media.api-sports.io/flags/gr.svg
1068,Partizan,https://media.api-sports.io/basketball/teams/1068.png,False,41.0,Serbia,RS,https://media.api-sports.io/flags/rs.svg
1686,Petrol Olimpija,https://media.api-sports.io/basketball/teams/1686.png,False,43.0,Slovenia,SI,https://media.api-sports.io/flags/si.svg
2338,Real Madrid,https://media.api-sports.io/basketball/teams/2338.png,False,45.0,Spain,ES,https://media.api-sports.io/flags/es.svg
1570,Siena,https://media.api-sports.io/basketball/teams/1570.png,False,23.0,Italy,IT,https://media.api-sports.io/flags/it.svg
2340,Unicaja,https://media.api-sports.io/basketball/teams/2340.png,False,45.0,Spain,ES,https://media.api-sports.io/flags/es.svg
733,Virtus Roma,https://media.api-sports.io/basketball/teams/733.png,False,23.0,Italy,IT,https://media.api-sports.io/flags/it.svg
796,Zalgiris Kaunas,https://media.api-sports.io/basketball/teams/796.png,False,27.0,Lithuania,LT,https://media.api-sports.io/flags/lt.svg
606,Aris,https://media.api-sports.io/basketball/teams/606.png,False,18.0,Greece,GR,https://media.api-sports.io/flags/gr.svg
1024,Khimki M.,https://media.api-sports.io/basketball/teams/1024.png,False,39.0,Russia,RU,https://media.api-sports.io/flags/ru.svg
26,Lyon-Villeurbanne,https://media.api-sports.io/basketball/teams/26.png,False,4.0,France,FR,https://media.api-sports.io/flags/fr.svg
1529,Maroussi,https://media.api-sports.io/basketball/teams/1529.png,False,18.0,Greece,GR,https://media.api-sports.io/flags/gr.svg
532,Oldenburg,https://media.api-sports.io/basketball/teams/532.png,False,17.0,Germany,DE,https://media.api-sports.io/flags/de.svg
15,Orleans,https://media.api-sports.io/basketball/teams/15.png,False,4.0,France,FR,https://media.api-sports.io/flags/fr.svg
794,Rytas,https://media.api-sports.io/basketball/teams/794.png,False,27.0,Lithuania,LT,https://media.api-sports.io/flags/lt.svg
309,Spirou Charleroi,https://media.api-sports.io/basketball/teams/309.png,False,7.0,Belgium,BE,https://media.api-sports.io/flags/be.svg
728,Treviso,https://media.api-sports.io/basketball/teams/728.png,False,23.0,Italy,IT,https://media.api-sports.io/flags/it.svg
2747,Ventspils,https://media.api-sports.io/basketball/teams/2747.png,False,59.0,Latvia,LV,https://media.api-sports.io/flags/lv.svg
520,Bamberg,https://media.api-sports.io/basketball/teams/520.png,False,17.0,Germany,DE,https://media.api-sports.io/flags/de.svg
1732,Banvit,https://media.api-sports.io/basketball/teams/1732.png,False,48.0,Turkey,TR,https://media.api-sports.io/flags/tr.svg
1773,Budivelnyk,https://media.api-sports.io/basketball/teams/1773.png,False,49.0,Ukraine,UA,https://media.api-sports.io/flags/ua.svg
1615,Buducnost,https://media.api-sports.io/basketball/teams/1615.png,False,29.0,Montenegro,ME,https://media.api-sports.io/flags/me.svg
704,Caserta,https://media.api-sports.io/basketball/teams/704.png,False,23.0,Italy,IT,https://media.api-sports.io/flags/it.svg
18,Cholet,https://media.api-sports.io/basketball/teams/18.png,False,4.0,France,FR,https://media.api-sports.io/flags/fr.svg
848,Donar Groningen,https://media.api-sports.io/basketball/teams/848.png,False,30.0,Netherlands,NL,https://media.api-sports.io/flags/nl.svg
677,Gilboa Galil,https://media.api-sports.io/basketball/teams/677.png,False,22.0,Israel,IL,https://media.api-sports.io/flags/il.svg
446,Nymburk,https://media.api-sports.io/basketball/teams/446.png,False,12.0,Czech-Republic,CZ,https://media.api-sports.io/flags/cz.svg
19,Roanne,https://media.api-sports.io/basketball/teams/19.png,False,4.0,France,FR,https://media.api-sports.io/flags/fr.svg
1030,Unics Kazan,https://media.api-sports.io/basketball/teams/1030.png,False,39.0,Russia,RU,https://media.api-sports.io/flags/ru.svg
2341,Valencia,https://media.api-sports.io/basketball/teams/2341.png,False,45.0,Spain,ES,https://media.api-sports.io/flags/es.svg
1063,Vrsac,https://media.api-sports.io/basketball/teams/1063.png,False,41.0,Serbia,RS,https://media.api-sports.io/flags/rs.svg
1695,Bilbao,https://media.api-sports.io/basketball/teams/1695.png,False,45.0,Spain,ES,https://media.api-sports.io/flags/es.svg
719,Cantu,https://media.api-sports.io/basketball/teams/719.png,False,23.0,Italy,IT,https://media.api-sports.io/flags/it.svg
5185,Donetsk,https://media.api-sports.io/basketball/teams/5185.png,False,,,,
1271,Galatasaray,https://media.api-sports.io/basketball/teams/1271.png,False,48.0,Turkey,TR,https://media.api-sports.io/flags/tr.svg
17,Gravelines-Dunkerque,https://media.api-sports.io/basketball/teams/17.png,False,4.0,France,FR,https://media.api-sports.io/flags/fr.svg
613,PAOK,https://media.api-sports.io/basketball/teams/613.png,False,18.0,Greece,GR,https://media.api-sports.io/flags/gr.svg
1635,Turow Zgorzelec,https://media.api-sports.io/basketball/teams/1635.png,False,34.0,Poland,PL,https://media.api-sports.io/flags/pl.svg
1663,VEF Riga,https://media.api-sports.io/basketball/teams/1663.png,False,39.0,Russia,RU,https://media.api-sports.io/flags/ru.svg
1456,Zagreb,https://media.api-sports.io/basketball/teams/1456.png,False,10.0,Croatia,HR,https://media.api-sports.io/flags/hr.svg
1367,Academic,https://media.api-sports.io/basketball/teams/1367.png,False,52.0,Bulgaria,BG,https://media.api-sports.io/flags/bg.svg
1266,Besiktas,https://media.api-sports.io/basketball/teams/1266.png,False,48.0,Turkey,TR,https://media.api-sports.io/flags/tr.svg
1452,Cedevita,https://media.api-sports.io/basketball/teams/1452.png,False,10.0,Croatia,HR,https://media.api-sports.io/flags/hr.svg
20,Chalon/Saone,https://media.api-sports.io/basketball/teams/20.png,False,4.0,France,FR,https://media.api-sports.io/flags/fr.svg
308,Oostende,https://media.api-sports.io/basketball/teams/308.png,False,7.0,Belgium,BE,https://media.api-sports.io/flags/be.svg
533,Ulm,https://media.api-sports.io/basketball/teams/533.png,False,17.0,Germany,DE,https://media.api-sports.io/flags/de.svg
522,Bayern,https://media.api-sports.io/basketball/teams/522.png,False,17.0,Germany,DE,https://media.api-sports.io/flags/de.svg
1065,Crvena zvezda mts,https://media.api-sports.io/basketball/teams/1065.png,False,41.0,Serbia,RS,https://media.api-sports.io/flags/rs.svg
1025,Lokomotiv Kuban,https://media.api-sports.io/basketball/teams/1025.png,False,39.0,Russia,RU,https://media.api-sports.io/flags/ru.svg
21,Nanterre,https://media.api-sports.io/basketball/teams/21.png,False,4.0,France,FR,https://media.api-sports.io/flags/fr.svg
25,Strasbourg,https://media.api-sports.io/basketball/teams/25.png,False,4.0,France,FR,https://media.api-sports.io/flags/fr.svg
730,Varese,https://media.api-sports.io/basketball/teams/730.png,False,23.0,Italy,IT,https://media.api-sports.io/flags/it.svg
919,Zielona Gora,https://media.api-sports.io/basketball/teams/919.png,False,34.0,Poland,PL,https://media.api-sports.io/flags/pl.svg
681,Hapoel M. Jerusalem,https://media.api-sports.io/basketball/teams/681.png,True,5.0,USA,US,https://media.api-sports.io/flags/us.svg
27,Limoges,https://media.api-sports.io/basketball/teams/27.png,False,4.0,France,FR,https://media.api-sports.io/flags/fr.svg
791,Neptunas,https://media.api-sports.io/basketball/teams/791.png,False,27.0,Lithuania,LT,https://media.api-sports.io/flags/lt.svg
1026,Nizhny Novgorod,https://media.api-sports.io/basketball/teams/1026.png,False,39.0,Russia,RU,https://media.api-sports.io/flags/ru.svg
726,Sassari,https://media.api-sports.io/basketball/teams/726.png,False,23.0,Italy,IT,https://media.api-sports.io/flags/it.svg
